unique_keyword_id,intent_localised_id,intent_localised,keyword_template,language
0c6504ea2efea748cc4f1d0a992ef61f,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent",fre
24203702a2ed5ff9ccae61eede5d1833,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject,location",cht
0a2f5a070cd392d20d9757d2a665a369,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,location",ger
0a2f5a070cd392d20d9757d2a665a369,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,location",gre
5137f7e3aaa9d54f24d67913786ce4ba,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject",tur
d67a76d8468c0641ff96dd69c0844180,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent",fre
d67a76d8468c0641ff96dd69c0844180,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent",pol
d67a76d8468c0641ff96dd69c0844180,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent",chi
a5f9209b08bcb64d7d5dc85f9f8cbcf9,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,training",heb
01d6cbc7d1212e70cd859372a7b081f0,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent",swe
01d6cbc7d1212e70cd859372a7b081f0,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent",rum
9680278bda90d8a5bdabe9faffc6dd66,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,training",pol
9680278bda90d8a5bdabe9faffc6dd66,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,training",swe
49f7d0180958470eddc6f36f17623ec5,90d991b47098ceef3d8283a386cf7e91,ACT,"intent,subject,location",por
49f7d0180958470eddc6f36f17623ec5,90d991b47098ceef3d8283a386cf7e91,ACT,"intent,subject,location",cht
ec755bf7b4570685ec033864239fa082,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,location",kor
ec4ad90b5a9c1025f47585e464d09c97,513bcfa2b82dc1735a07b97b7f870106,BEC,"intent,subject",eng
d6239f81300deba932bc1c8f857dc95e,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent,training",eng
57f668c010a9ab11e78eb1e7365bee54,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent",ger
91939e66553ab259adf830051fe1bbef,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"subject,intent,location",jpn
0c6504ea2efea748cc4f1d0a992ef61f,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent",ger
24203702a2ed5ff9ccae61eede5d1833,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject,location",ind
0a2f5a070cd392d20d9757d2a665a369,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,location",swe
5137f7e3aaa9d54f24d67913786ce4ba,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject",nor
d67a76d8468c0641ff96dd69c0844180,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent",por
15c0d564e9e3d09c4e55bbcd2066915a,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject,location",ind
0a2f5a070cd392d20d9757d2a665a369,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,location",jpn
a5f9209b08bcb64d7d5dc85f9f8cbcf9,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,training",rum
15c0d564e9e3d09c4e55bbcd2066915a,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject,location",pol
01d6cbc7d1212e70cd859372a7b081f0,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent",nor
9680278bda90d8a5bdabe9faffc6dd66,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,training",ind
4da038780c0192aa74b304203f5932fb,513bcfa2b82dc1735a07b97b7f870106,BEC,"intent,subject,location",gre
764528480d1a676c651911036300f034,aa8af3ebe14831a7cd1b6d1383a03755,chat,"intent,subject,location",dan
f273de6bb7d1ebab4530a2580535f7e9,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,training",heb
24203702a2ed5ff9ccae61eede5d1833,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject,location",pol
0a2f5a070cd392d20d9757d2a665a369,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,location",kor
0a2f5a070cd392d20d9757d2a665a369,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,location",tha
a5f9209b08bcb64d7d5dc85f9f8cbcf9,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,training",jpn
01d6cbc7d1212e70cd859372a7b081f0,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent",eng
01d6cbc7d1212e70cd859372a7b081f0,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent",tha
49f7d0180958470eddc6f36f17623ec5,90d991b47098ceef3d8283a386cf7e91,ACT,"intent,subject,location",dan
ec755bf7b4570685ec033864239fa082,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,location",ara
ec4ad90b5a9c1025f47585e464d09c97,513bcfa2b82dc1735a07b97b7f870106,BEC,"intent,subject",heb
915ee7127c129c41c6b2e6dda7d5bfe5,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent",eng
4da038780c0192aa74b304203f5932fb,513bcfa2b82dc1735a07b97b7f870106,BEC,"intent,subject,location",eng
e0af73c9fbd1bc4077d59e9b7d0969d3,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,training",ita
1a038b1b01dc9ad4f94d41b4f16a4db0,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"intent,subject",eng
f273de6bb7d1ebab4530a2580535f7e9,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,training",fre
24203702a2ed5ff9ccae61eede5d1833,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject,location",ger
24203702a2ed5ff9ccae61eede5d1833,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject,location",fin
9680278bda90d8a5bdabe9faffc6dd66,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,training",nor
d6239f81300deba932bc1c8f857dc95e,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent,training",fre
0c6504ea2efea748cc4f1d0a992ef61f,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent",fin
0c6504ea2efea748cc4f1d0a992ef61f,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent",swe
24203702a2ed5ff9ccae61eede5d1833,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject,location",kor
24203702a2ed5ff9ccae61eede5d1833,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject,location",rum
0a2f5a070cd392d20d9757d2a665a369,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,location",heb
5137f7e3aaa9d54f24d67913786ce4ba,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject",swe
5137f7e3aaa9d54f24d67913786ce4ba,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject",rum
d67a76d8468c0641ff96dd69c0844180,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent",ger
a5f9209b08bcb64d7d5dc85f9f8cbcf9,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,training",ger
a5f9209b08bcb64d7d5dc85f9f8cbcf9,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,training",chi
15c0d564e9e3d09c4e55bbcd2066915a,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject,location",fre
15c0d564e9e3d09c4e55bbcd2066915a,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject,location",ger
15c0d564e9e3d09c4e55bbcd2066915a,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject,location",fin
15c0d564e9e3d09c4e55bbcd2066915a,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject,location",rum
651628e25c48eb907fd0c005880d8ef0,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,location",dan
651628e25c48eb907fd0c005880d8ef0,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,location",fin
651628e25c48eb907fd0c005880d8ef0,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,location",gre
651628e25c48eb907fd0c005880d8ef0,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,location",nor
01d6cbc7d1212e70cd859372a7b081f0,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent",ara
01d6cbc7d1212e70cd859372a7b081f0,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent",jpn
9680278bda90d8a5bdabe9faffc6dd66,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,training",ara
9680278bda90d8a5bdabe9faffc6dd66,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,training",tha
49f7d0180958470eddc6f36f17623ec5,90d991b47098ceef3d8283a386cf7e91,ACT,"intent,subject,location",fin
49f7d0180958470eddc6f36f17623ec5,90d991b47098ceef3d8283a386cf7e91,ACT,"intent,subject,location",pol
49f7d0180958470eddc6f36f17623ec5,90d991b47098ceef3d8283a386cf7e91,ACT,"intent,subject,location",swe
ec755bf7b4570685ec033864239fa082,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,location",fin
ec755bf7b4570685ec033864239fa082,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,location",ind
ec755bf7b4570685ec033864239fa082,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,location",heb
ec755bf7b4570685ec033864239fa082,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,location",jpn
ec4ad90b5a9c1025f47585e464d09c97,513bcfa2b82dc1735a07b97b7f870106,BEC,"intent,subject",pol
ec4ad90b5a9c1025f47585e464d09c97,513bcfa2b82dc1735a07b97b7f870106,BEC,"intent,subject",jpn
915ee7127c129c41c6b2e6dda7d5bfe5,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent",ind
915ee7127c129c41c6b2e6dda7d5bfe5,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent",kor
915ee7127c129c41c6b2e6dda7d5bfe5,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent",cht
915ee7127c129c41c6b2e6dda7d5bfe5,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent",dan
915ee7127c129c41c6b2e6dda7d5bfe5,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent",heb
d6239f81300deba932bc1c8f857dc95e,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent,training",tha
d6239f81300deba932bc1c8f857dc95e,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent,training",cht
d6239f81300deba932bc1c8f857dc95e,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent,training",heb
4da038780c0192aa74b304203f5932fb,513bcfa2b82dc1735a07b97b7f870106,BEC,"intent,subject,location",dan
4da038780c0192aa74b304203f5932fb,513bcfa2b82dc1735a07b97b7f870106,BEC,"intent,subject,location",cht
54cce28c9c0ff371c6564ec82813d013,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject",ger
54cce28c9c0ff371c6564ec82813d013,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject",spa
54cce28c9c0ff371c6564ec82813d013,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject",fin
54cce28c9c0ff371c6564ec82813d013,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject",pol
54cce28c9c0ff371c6564ec82813d013,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject",gre
57f668c010a9ab11e78eb1e7365bee54,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent",ind
e0af73c9fbd1bc4077d59e9b7d0969d3,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,training",ind
e0af73c9fbd1bc4077d59e9b7d0969d3,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,training",nor
e0af73c9fbd1bc4077d59e9b7d0969d3,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,training",tur
a2a5f250d6e137b523d1f0e8fb2ba9ea,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject,location",fre
a2a5f250d6e137b523d1f0e8fb2ba9ea,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject,location",heb
a2a5f250d6e137b523d1f0e8fb2ba9ea,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject,location",tha
a2a5f250d6e137b523d1f0e8fb2ba9ea,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject,location",ara
a2a5f250d6e137b523d1f0e8fb2ba9ea,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject,location",jpn
3c680a0dab3d45e03565b1f073505f48,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,location",spa
3c680a0dab3d45e03565b1f073505f48,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,location",ind
3c680a0dab3d45e03565b1f073505f48,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,location",kor
3c680a0dab3d45e03565b1f073505f48,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,location",heb
1a038b1b01dc9ad4f94d41b4f16a4db0,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"intent,subject",fre
1a038b1b01dc9ad4f94d41b4f16a4db0,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"intent,subject",fin
1a038b1b01dc9ad4f94d41b4f16a4db0,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"intent,subject",rum
4c1e2bac0eda7bcf2a4c0c2086753ccb,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"subject,intent,training",fin
4c1e2bac0eda7bcf2a4c0c2086753ccb,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"subject,intent,training",ind
4c1e2bac0eda7bcf2a4c0c2086753ccb,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"subject,intent,training",por
4c1e2bac0eda7bcf2a4c0c2086753ccb,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"subject,intent,training",swe
4c1e2bac0eda7bcf2a4c0c2086753ccb,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"subject,intent,training",fre
4c1e2bac0eda7bcf2a4c0c2086753ccb,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"subject,intent,training",tur
91939e66553ab259adf830051fe1bbef,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"subject,intent,location",nor
91939e66553ab259adf830051fe1bbef,78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,"subject,intent,location",tur
60cdacfbf3c714629ae59915e63b4a3b,f6b49b7da62a112311f1af06a5742e9f,FCE,"subject,intent,location",pol
60cdacfbf3c714629ae59915e63b4a3b,f6b49b7da62a112311f1af06a5742e9f,FCE,"subject,intent,location",por
60cdacfbf3c714629ae59915e63b4a3b,f6b49b7da62a112311f1af06a5742e9f,FCE,"subject,intent,location",ind
d2eff411f2e756f91395888d1e82ead9,3c3cec74241178c326af9ecc748f8a5e,GMAT,"subject,intent,training",fre
d2eff411f2e756f91395888d1e82ead9,3c3cec74241178c326af9ecc748f8a5e,GMAT,"subject,intent,training",pol
d2eff411f2e756f91395888d1e82ead9,3c3cec74241178c326af9ecc748f8a5e,GMAT,"subject,intent,training",swe
a505d5a3196741034124e10d158c5e57,3c3cec74241178c326af9ecc748f8a5e,GMAT,"intent,subject,location",jpn
a505d5a3196741034124e10d158c5e57,3c3cec74241178c326af9ecc748f8a5e,GMAT,"intent,subject,location",pol
a505d5a3196741034124e10d158c5e57,3c3cec74241178c326af9ecc748f8a5e,GMAT,"intent,subject,location",por
