subject_localised_id,subject_localised,language
fc3c6837c5c90383d7e11a810708b641,Tybetański,pol
25cf96268eb2c53754ffd34dbe64e956,汉语,cht
2fee89597f21e89008b51804d2d93392,芬兰语,cht
467e43dd88a5b1084ce3611e45b593c6,冰岛语,cht
d43fa139601480d5aab013f9823354b6,西班牙语,cht
e81d2c5454d3241f1b391c6d13ecd140,Duński,pol
3f2c644b8a8ea4c235dab79751e4dc35,Węgierski,pol
0f76e2247148c03268305a2034e45725,Koreański,pol
b086b290a3ca4d8401a09e65d0b411ce,Muzyka,pol
3f1b355b4f999a2dbc34bf7df1cc44c1,捷克语,cht
ebea58b7574736b0d5caa277aafefcb7,ギリシャ語,jpn
a81695a4ef7c3bf88380dde363e728cd,ヒンディ語,jpn
2f263bd0cea04db47be19883cb396671,韓国語,jpn
a6e398346733fc89e830348d316ff2d9,ラテン語,jpn
99ca143b41f5473b4cf9fdfee850b475,ノルウェー語,jpn
7e70bb30d430e17395080ae80636c232,ウクライナ語,jpn
b5ae4398f3c72eb24080d95cf62139fc,化学,jpn
6ce0f58c41a9e64c89ad0a8ce71d5267,Польский,rus
6a0b26ec5ef71452f0103678bc7ba6b7,Пaнджаби,rus
5ca8125c8e0e25841408429112487094,Тайский,rus
0bdcad37b8409974288b1f78d6b9d62f,Болгарська,ukr
f5fe056dc214b85327930149dd5d6580,Пенджабі,ukr
057f4076a56d2fd2d44c78fe0193ce64,Румунська,ukr
919187be7de710e7cfb08d15efdbbfd6,Ingilizce,tur
37a7513d2098913fa931cce0af602002,Kuran,tur
786cbbbe3b089e9c2128d808e75bf0d6,Dil,tur
07eb6694ca0ede8864a0d39a17b6c411,Fizik,tur
0b2d7e481f87460469fe1937cccb0837,Kimya,tur
f7d7ed443a87ae4a1c4c6526a3c11ce7,Корейский,rus
f439e6eacdb843afa2b39bceff4513b9,Португальский,rus
f190080c128232250511c431d52e5825,Matematik,tur
5cdf81db74db90243e1fbe16acf463d2,Islandais,fre
05f8e87da64ab9ae3a16aa18b7ec51b3,Japonais,fre
4037f77713990c867a3c53066fbc4dd0,Sanskrit,fre
1c8162f5ce6d0dd50328cb1a5230c740,Ukrainien,fre
cda371792a8e564f310b48ba0004f5eb,Physique,fre
07353d86b849b31abe27254a5a2e9da8,Giapponese,ita
e59f4e257f1e2bbb14ad5da4eddb7e48,Chinesisch,ger
fee973126d42389ac96082e9ca6961fa,Tagalog,ger
246f8713780edfa800c2b15f73c0fc95,Biologia,ita
597565a099bf5ec422c07583ccf666e0,Griego,spa
45c3171ef193c74b402f407fba9d955b,Hindi,spa
057b8b37b7702621474190969c03b6cb,Coreano,spa
894ba3a61fc9ee2056fa623950bf0ab1,Serbio,spa
3025f3a70df2b7d590d11acb328010fd,Vietnamita,spa
9412167b956ffb8e6007f3e1fe10fe6b,孟加拉语,cht
0b4d995f8ba88be40eff20240f66843e,梵语,cht
9eb148b5f8c5c081cb18081b3248acf8,塞尔维亚语,cht
e3a273b99c902dda53a35a9895823567,瑞典语,cht
2cb33b4ecaa79011d21e7686030ba7f6,Włoski,pol
0d3c9bc1a826fd59d1825cc531c0b155,Japoński,pol
7170e71f001e0bb4e778f1576d5890ba,Portugalski,pol
87fb843a1f17be5aa998f4607d09e6bb,Serbski,pol
47a4f51796c4b048e27d6b66a7af02ab,匈牙利语,cht
671c0d80c3a7e623cebf280e33454453,日语,cht
a4b262ace7f54dd00c0636291ed15754,塔加拉族语,cht
ff46e55c1733301a04c67c3934180a99,Italiano,por
9f564ebabc9cf0b9589b4ecf6228379a,Khmer,fre
e94e4313f74d58ede50bfe8ece3a8bb5,Mathematik,ger
15b88a88e6cf16a4462c1562fdcb0c19,Telugu,ita
bf6c56085d5ba147fe0860211f201685,Sprachen,ger
14fdae984e530d95196101c05855fb06,Croato,ita
cdc99b34c383cc4dfce643342ac1402a,フランス語,jpn
112098b04bdb641bac711cb54b9b14f3,Латынь,rus
13ee4b10be88b7bb86970cb9155cea91,Тамільська,ukr
199668c106149565ee037c24d5246cce,Latein,ger
e0775193c1844133c9b9627d86acb704,Vietnamesisch,ger
0586f758b9db2b6e37c91b2994a9ac65,Physik,ger
784b1eb7b30a092f41cc447ef3c1c9f1,Rumeno,ita
f0670813020969b39ff8d85744b40400,Tamil,spa
28b2303b8076d780e67d2834d9657013,Norweski,pol
440dd9d23c121d6edfc310ec6e2410bb,Khmerski,pol
8f4e7c5f66d6ee5698c01de29affc562,Algebra,pol
c54ba865dc568470026600f0e8811668,代数学,cht
a3600cd0727f48307c971a537a3b4af7,Коран,ukr
cc3ba7f69f1dfbb4591edc3b44947759,Lituanien,fre
93112b8e4638a7c5bc40e730701cc855,生物学,cht
5bdd12afb4c6d130e017f3c5265cf8e7,アラビア語,jpn
40c15ef2b8ab811e5aa6ccffbb05edf0,カタルーニャ語,jpn
1e645cea1dc60628c83078963431dbca,中国語,jpn
3b166d78f398e8848ea31e17bbae632c,クロアチア語,jpn
180da47d0a265268f131362770521ca8,ペルシア語,jpn
16bc0d5d10380eec2064efa4558a8c64,ヘブライ語,jpn
00110af8b4393ef3f72c50be5b332bec,日本語,jpn
1169be50f15c7f1a87781f26c2e68cc3,クメール語,jpn
b050425c95ef1c7a13d789c4aaec1d1a,パンジャーブ語,jpn
58c0d17aa2e79361a860c283c520d1ae,スペイン語,jpn
802a962854d01a8a533bb4b6cd8a1184,物理学,jpn
7aa96302d1e099b4a80a8279de65a686,Белорусский,rus
89ba0b437be6e7e9157bc7ed4645cb49,Кантонский,rus
80c989082027f12396a9d9b2cd72686d,Чешский,rus
be5124399fb0fd7ae8dd529ebf756518,Греческий,rus
f805afe3c465e46b2f608786fb3c6bd9,Японский,rus
edeb4ada2139e7493b0bb01674bb1f5d,Литовский,rus
eaeaa65ac9b1e4eb778bf7f28652cfea,Румынский,rus
83341c78710e9dffa561e3dced1f163e,Шведский,rus
f3767d6d43c775807606371c5fc47162,Биология,rus
cb7b2081866b0f119e670c4dcbce0c12,Арабська,ukr
8b092b99eda6d4746b5cd7aaa7cefe0b,Каталонська,ukr
320bee0f982d77c91a0bbc3ad6d86a2e,Голландська,ukr
193ab18b02814760be1c7367b7b18ef0,Англійська,ukr
c3cd33231cbdf9a2b8bfd8083ac2a9f7,Німецька,ukr
56fb10dcde6ba05de255833cc98fb225,Хінді,ukr
e0db3893c0aa6b78e29ad5b0b2d6cc05,Угорська,ukr
38d385b68a05c3ef1ab5af49365fb921,Португальська,ukr
c37bde9e2be2ed3411f69437918ad02b,Словацька,ukr
61bc379dff6dff944ee7f78f4d17cb1c,Тайська,ukr
8d5e4bb38aaad0f19bdb5886d37e6def,Тибетська,ukr
5d9dacf13e6de2feb2e7a63749384041,В'єтнамська,ukr
d9bde24be94e101a5e6580c83480c25c,Біологія,ukr
feaa07dace649850353ae46ade5f34b5,Фізика,ukr
47bddfc38927f8dd9de8d50b57435eb6,Çince,tur
e2be3813f0123784412c3bf67bd6896a,Danca,tur
cf6afa0a7c4d2c44fb73d57cee7e6af4,Farsça,tur
284a994cd93ba11dff2de4570fb99927,Ibranice,tur
66d9d731fc8863ecd1a194802b5cfd7b,Izlandaca,tur
1b45c8654d8b93c14e08373fd2967bab,Portekizce,tur
f6eb0bc1a7bb1ac6dc6ff62093a233c3,Ispanyolca,tur
6b0393f442bf28b0f18effb98b303665,Isveççe,tur
80a07fc3514403a956d486dbaad05aca,Tibetçe,tur
0f8c9411bb68eed8e4888cfea3d9f16b,Ukraynaca,tur
019f2752fadae1802d02ef05f1f0e9cb,Biyoloji,tur
0e9afd49789f899d95f29963c249a450,Müzik,tur
d4823970078993073571d22364fef7d7,Корейська,ukr
65c1ec8dc57d387c41abdaf136e3bc65,デンマーク語,jpn
f309b9d4574ecbd6baf7bee39f6eb9fe,タイ語,jpn
6f7e86adb01fd3fa66c2ae922d087aac,Немецкий,rus
f78d36ef5966dbf46c00225b0a711319,Венгерский,rus
c54b8d30956c9d9b7f01e22f2068a1f5,Тагальский,rus
2fbc78e4ba16c44ad0feef761d97b160,Хорватська,ukr
d0abb228195d592c976c38c0119250a7,İrlanda dili,tur
d5529d93c2f2713e1f5c03f3d5bc5e0c,Rumence,tur
a3600cd0727f48307c971a537a3b4af7,Коран,rus
8418cd92bd1825a3b622c841d82bface,Chiński,pol
859da3993da5600a292703b1a52d692a,泰卢固语,cht
df4e02cf420699f7f5c9bd2d8487c44d,タミル語,jpn
8d96a217782e15bf3498b312c70c7c50,Хорватский,rus
142d3cbb0de305cce662017571012276,Ірландська,ukr
cb4e35daefd4eb43abcc170552feb568,Алгебра,ukr
15b88a88e6cf16a4462c1562fdcb0c19,Telugu,tur
95d558b3f3438507c8a16f81c6ec2932,Urduca,tur
5bfa58449cd3f8bc5cd918571c2e18ee,Фінська,ukr
0a6de4460095f398e8a45ed512a7538f,Belarusian,eng
60bb3bcc6ff535428a38f76f1059b2d2,Bulgarian,eng
8bfd003df06f6c6cd28153e00edfc93a,Cantonese,eng
900a14b115614d9d4d1c47f1d3a3251b,Catalan,eng
3b261136e3c33f35e0a58611b1f344cb,Chinese,eng
68bf367e228f45ba83cb8831a5ee6447,Dutch,eng
9ae099fd082267fa2f2f85664a4f74dc,Finnish,eng
0aafa497807d5ac9b509656bd13b5283,Greek,eng
efa7394ecaa7fc7076a9da13a77236b8,Romanian,eng
f0670813020969b39ff8d85744b40400,Tamil,eng
15b88a88e6cf16a4462c1562fdcb0c19,Telugu,eng
43ddc789bcea4177a14791f6c9a03b28,Thai,eng
a441f933e0026f55ccff38b534f98a53,Tibetan,eng
05ec7e67745bb2e0f0b8baaaab53a422,كانتونيزية,ara
2bf4f531753fc32e044faccf0b07bb4a,ايطالية,ara
0ee957d9c8aa57c6d47c9c47a7b8e1f9,رومانية,ara
ec996beb7055f1bad572debb40bc55cf,الرياضيات,ara
9470ddec893781ea65f1a2b71ae5e01c,Biology,eng
cc1c9b57607b4439578b68074a5e2d80,Indonesian,eng
2e4a15c2a33a199fe8ec4a8b2cde1bdc,بيلاروسية,ara
a63d3ad6d8e51b19bb9c4a7568bbe0cc,بنقالية,ara
de0ac0d688aa6d9e9af06eab3b73fae6,خميرية,ara
3db617cc4a72439c2921097197b38398,لاتينية,ara
f32ced6a9ba164c4b3c047fd1d7c882e,Japanese,eng
c82e9c31cbd66420582d4af2318dc4ff,Dinamarquês,por
3cbc8d0a7497a131a3a0befe5d39d86b,Húngaro,por
