intent_localised_id,intent_localised,language
3c3cec74241178c326af9ecc748f8a5e,GMAT,ger
34c3c72c9244d4a381975e146a319c44,OET,ger
199263bca0611f1a57202aeb039e6cd4,CILS,ger
e4218269679e8d10256d8574118f308e,HSK,ger
8045a0a6c688b0635e3caccc408a1446,Generic,ger
99360d860bf1bf894c46976c8123399c,Selbststudium,ger
1e78183412271b46d45899116cb4384f,Schulung,ger
ac99fecf6fcb8c25d18788d14a5384ee,docente,ita
199263bca0611f1a57202aeb039e6cd4,CILS,por
d187e257009dd94dbcb96c6da6f1812d,DIPLE,por
8045a0a6c688b0635e3caccc408a1446,Generic,por
5ab59c9bdf8ec05bb4e0d92c40a874db,natif,fre
aa8af3ebe14831a7cd1b6d1383a03755,chat,fre
78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,fre
d187e257009dd94dbcb96c6da6f1812d,DIPLE,fre
f1a41f239896dc63a6eaeba863f0e7ce,formation,fre
c3aba59af34521268493418995fd109e,Sprecher*in,ger
f3d92b8ea0640586d56403e56e1b06aa,Unterricht,ger
99ee12eacf65225cf63c61d59c04cd95,Prüfung,ger
8527c24d06d660c39c108577cd891cd9,PTE,ger
98e2fdd174d9b634e49d4361be026730,DELF,ger
94e7f203ba80123f1182484c1c7351a7,TCF,ger
ad6acac903e1b8b517a7f3be3080b665,CIPLE,ger
d187e257009dd94dbcb96c6da6f1812d,DIPLE,ger
178522587663ca1b2c3e10d8d1351a4c,DELE,ger
4ec56ea748561d98fbbc8254c2ad29d6,üben,ger
2156c684bd0b94174a8e8d157c8c74f9,sich unterhalten,ger
fd1dd0c603be8170f9eae0be9f2f6afb,Direct,ger
d444d6957c78bfad983cfb20d95c570e,parlante,ita
7a7ea6908e33896ddcc8b82f264f4f7a,maestro,ita
9c8e13d0166d740b34bff739fe461afb,scuola,ita
b4d45708de4ddb301ffd4666a5949344,CAE,ita
65ccf0f205fb154d14c470767026d75e,National,ara
aa8af3ebe14831a7cd1b6d1383a03755,chat,por
f5fb0d4ea357163633d268f629a62a95,TOCFL,por
f6b49b7da62a112311f1af06a5742e9f,FCE,spa
34c3c72c9244d4a381975e146a319c44,OET,spa
5906c748ae2170f0259fa3f4abeb149b,TFI,spa
65ccf0f205fb154d14c470767026d75e,National,spa
8045a0a6c688b0635e3caccc408a1446,Generic,ara
78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,por
65ccf0f205fb154d14c470767026d75e,National,por
25c8915bdd3409c527833166bcd2be43,autoestudo,por
3c3cec74241178c326af9ecc748f8a5e,GMAT,fre
7706998cba9c59295e0416087833034c,ICAS,fre
ad6acac903e1b8b517a7f3be3080b665,CIPLE,fre
63035f17bdaca2eee8fe96a88434912e,apprendre,fre
4146127520e388fc726cda626620d7aa,Muttersprachler*in,ger
fc5468372d5a5ebd99728eeedc5ba3a4,DSH,ger
2b266e62509986a999b9bb14b225c7b7,TestDaF,ger
684e1388a91900480c702ac5b8f6b4d8,SAT,fre
f5fb0d4ea357163633d268f629a62a95,TOCFL,fre
4cecc22bd1f82376afcd83491f2bc493,parler,fre
71f1743a7e335df5df56aa1eac336cc6,CNAVT,ger
b73014f259c910e9bb163ac74d4ea3d2,DALF,ger
684e1388a91900480c702ac5b8f6b4d8,SAT,ger
a7289131cf6f284839a3419197c04b6c,OSD,ger
f36d9d9d23b9ac62a0b3f82309536760,SIELE,ger
4cd8413207629a963225f4314b53adcd,Plain,ger
232588c86f08ea82e8c7dd6283dbe6c1,madrelingua,ita
f6b49b7da62a112311f1af06a5742e9f,FCE,ger
90d991b47098ceef3d8283a386cf7e91,ACT,ita
78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,ita
fd1dd0c603be8170f9eae0be9f2f6afb,Direct,fre
596befa8ed524061b5abdb777cd9403e,corso,ita
f6b49b7da62a112311f1af06a5742e9f,FCE,ita
3c3cec74241178c326af9ecc748f8a5e,GMAT,ita
1f8857d3b32243ed908283ef1570c001,IELTS,ita
8527c24d06d660c39c108577cd891cd9,PTE,ita
ce382dc732a94f0fea953833111a42cf,TOEFL,ita
e65da42c0d05488f54e2ccdee9a2d767,TOEIC,ita
b73014f259c910e9bb163ac74d4ea3d2,DALF,ita
684e1388a91900480c702ac5b8f6b4d8,SAT,ita
90652aab8896c856edca211d4c66c90d,TEF,ita
5906c748ae2170f0259fa3f4abeb149b,TFI,ita
2b266e62509986a999b9bb14b225c7b7,TestDaF,ita
c0a0d10fc018c11948d2472b6038a9c0,CELI,ita
199263bca0611f1a57202aeb039e6cd4,CILS,ita
654de024829ac2d0d4be16e225160d9f,EJU,ita
4f5a8531996a690828de388828410330,CELPE,ita
ad6acac903e1b8b517a7f3be3080b665,CIPLE,ita
98e0fcc4a245d583dc4b497f05b332be,DEPLE,ita
e4218269679e8d10256d8574118f308e,HSK,ita
f5fb0d4ea357163633d268f629a62a95,TOCFL,ita
f36d9d9d23b9ac62a0b3f82309536760,SIELE,ita
3911e05fc3d97fb39b62e40ef9e71b9a,imparare,ita
c8536d95c98f5fcd0f0f5aac0b8fcc29,parlare,ita
abf57f378c012940e81315ad1e7abdb3,studiare,ita
074fd8ea7f006bfa86bdfd0fdf821b46,migliorare,ita
b75e7449fbfd4b228f20ffa0d849d80a,conversazione,ita
3a4eaaba1baaea2bac4dc39a0394e3e7,conversare,ita
4cd8413207629a963225f4314b53adcd,Plain,ita
c815f09da90fdcb986a0e7bf4e732fb4,Preply,ita
8045a0a6c688b0635e3caccc408a1446,Generic,ita
fd1dd0c603be8170f9eae0be9f2f6afb,Direct,ita
4d50c106b31b5db3532ff6af2b4f7e11,autoapprendimento,ita
1ac2ac50d73b07d6f9ca035a6b6b985c,formazione,ita
043729807503bc970737f41e732e206b,Profesores,spa
6d781a4899d112badc204d3a24205da2,Nativo,spa
0ff0a8d2c754fcbc2ec438e13fb43486,Socio,spa
099b58384e69e1aa6a564aa8a1964847,Maestros,spa
4b89efe556f6780ff72cad044b2cbedb,Clases,spa
efecb371dd2208f6476d817c1ed74614,Curso,spa
55dcdf017b51fc96f7b5f9d63013b95d,Chat,spa
8f901f64df116fdb4f832a6b200819b6,Examen,spa
7bd5fa509875d525e2cc5fe990c404db,Escuela,spa
71f1743a7e335df5df56aa1eac336cc6,CNAVT,spa
513bcfa2b82dc1735a07b97b7f870106,BEC,spa
b4d45708de4ddb301ffd4666a5949344,CAE,spa
5a753229efb8128b16b50c38708c6638,CAEL,spa
7706998cba9c59295e0416087833034c,ICAS,spa
8527c24d06d660c39c108577cd891cd9,PTE,spa
ce382dc732a94f0fea953833111a42cf,TOEFL,spa
684e1388a91900480c702ac5b8f6b4d8,SAT,spa
94e7f203ba80123f1182484c1c7351a7,TCF,spa
90652aab8896c856edca211d4c66c90d,TEF,spa
fc5468372d5a5ebd99728eeedc5ba3a4,DSH,spa
c0a0d10fc018c11948d2472b6038a9c0,CELI,spa
199263bca0611f1a57202aeb039e6cd4,CILS,spa
4f5d3489a65f3d91403dd5d9e5329bee,BJT,spa
e6fa5be517968617c85b491c90d72cde,JLPT,spa
8cf533e9669ca94413b681c20411f868,TOPIK,spa
ad6acac903e1b8b517a7f3be3080b665,CIPLE,spa
98e0fcc4a245d583dc4b497f05b332be,DEPLE,spa
d187e257009dd94dbcb96c6da6f1812d,DIPLE,spa
e4218269679e8d10256d8574118f308e,HSK,spa
f5fb0d4ea357163633d268f629a62a95,TOCFL,spa
f36d9d9d23b9ac62a0b3f82309536760,SIELE,spa
4c972a1520cf835dde6af0a9b4d7b2d7,Hablar,spa
4ae3ac35a3ff4a5920b63c0e120cd679,Mejorar,spa
4444442c1825f7e36f8bc983626a0510,Conversación,spa
8045a0a6c688b0635e3caccc408a1446,Generic,spa
fd1dd0c603be8170f9eae0be9f2f6afb,Direct,spa
c659149a3da642c5f8faf1446d491139,Autoaprendizaje,spa
9e0255a8ea700fe0654b418e78815c6c,Formacion,spa
1f6f42334e1709a4e0f9922ad789912b,tutor,dan
7454739e907f5595ae61d84b8547f574,partner,dan
24a0be34286ed042f7adabd5bede104a,lektion,dan
71f1743a7e335df5df56aa1eac336cc6,CNAVT,dan
90d991b47098ceef3d8283a386cf7e91,ACT,dan
f6b49b7da62a112311f1af06a5742e9f,FCE,dan
8527c24d06d660c39c108577cd891cd9,PTE,dan
e65da42c0d05488f54e2ccdee9a2d767,TOEIC,dan
684e1388a91900480c702ac5b8f6b4d8,SAT,dan
94e7f203ba80123f1182484c1c7351a7,TCF,dan
90652aab8896c856edca211d4c66c90d,TEF,dan
a7289131cf6f284839a3419197c04b6c,OSD,dan
4f5d3489a65f3d91403dd5d9e5329bee,BJT,dan
654de024829ac2d0d4be16e225160d9f,EJU,dan
f5fb0d4ea357163633d268f629a62a95,TOCFL,dan
92b87a96c82818f683299540c1d84ed0,lære,dan
4d3debafdd402130036512d2af7f3661,tale,dan
a4f85cac2868bffc0f6a0bb08f8a8adb,øve,dan
f270bfebafdf8ad793e969de2cde5176,snakke,dan
7cc592de05a2046e25ba79b04b53387c,Estudiar,spa
7ee2dffe38f166c311c5a28f744f0ec5,tuutori,fin
13fe41e00b88baa73a1482e1482c8854,puhuja,fin
340cd1dcf5d3871fa2584362194cc4fe,NT2,fin
90d991b47098ceef3d8283a386cf7e91,ACT,fin
513bcfa2b82dc1735a07b97b7f870106,BEC,fin
b4d45708de4ddb301ffd4666a5949344,CAE,fin
78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,fin
34c3c72c9244d4a381975e146a319c44,OET,fin
ce382dc732a94f0fea953833111a42cf,TOEFL,fin
b73014f259c910e9bb163ac74d4ea3d2,DALF,fin
fc5468372d5a5ebd99728eeedc5ba3a4,DSH,fin
a7289131cf6f284839a3419197c04b6c,OSD,fin
654de024829ac2d0d4be16e225160d9f,EJU,fin
